,perimeter,points,ucs3bi,ucs3mono,ucs3tri
0,0.607318413053713,"[<search.State instance at 0x98e17a0>, <search.State instance at 0x98e1758>, <search.State instance at 0x98e1710>]",535,489,544
1,0.7604487999287505,"[<search.State instance at 0x83f3c20>, <search.State instance at 0x83f3fc8>, <search.State instance at 0x83f37a0>]",451,838,544
2,0.7759747269276245,"[<search.State instance at 0x867ee60>, <search.State instance at 0x867e710>, <search.State instance at 0x867e1b8>]",408,528,424
3,0.3014277414403359,"[<search.State instance at 0x8e036c8>, <search.State instance at 0x8e03998>, <search.State instance at 0x8e033b0>]",168,185,89
4,0.7758975549790346,"[<search.State instance at 0x83237e8>, <search.State instance at 0x83239e0>, <search.State instance at 0x8323e18>]",473,548,183
5,0.6352629607086766,"[<search.State instance at 0x98e12d8>, <search.State instance at 0x98e11b8>, <search.State instance at 0x98e1ab8>]",34,64,40
6,0.8833607761799792,"[<search.State instance at 0x89d42d8>, <search.State instance at 0x89d4908>, <search.State instance at 0x89d4248>]",239,219,322
7,0.520389670818789,"[<search.State instance at 0x8e03950>, <search.State instance at 0x8e030e0>, <search.State instance at 0x8e03e18>]",138,225,144
8,0.9388203448031645,"[<search.State instance at 0x98ff878>, <search.State instance at 0x98ffb48>, <search.State instance at 0x98fff80>]",1005,1334,601
9,0.8840480908433088,"[<search.State instance at 0x2d956c8>, <search.State instance at 0x2d957a0>, <search.State instance at 0x2d95d88>]",835,1460,732
10,0.8414260180417966,"[<search.State instance at 0x98ff5a8>, <search.State instance at 0x98ffb90>, <search.State instance at 0x98fffc8>]",670,1216,568
11,0.9094535871323299,"[<search.State instance at 0x98e13b0>, <search.State instance at 0x98e14d0>, <search.State instance at 0x98e1050>]",386,920,396
12,0.7585065755030325,"[<search.State instance at 0x2d99368>, <search.State instance at 0x2d99950>, <search.State instance at 0x2d99fc8>]",567,790,367
13,0.6235067498135729,"[<search.State instance at 0x2d99ef0>, <search.State instance at 0x2d99b90>, <search.State instance at 0x2d99758>]",940,495,367
14,0.9934113801675416,"[<search.State instance at 0x2d8f5f0>, <search.State instance at 0x2d8f2d8>, <search.State instance at 0x2d8fb90>]",715,1718,753
15,0.8980889912128833,"[<search.State instance at 0x98ffd40>, <search.State instance at 0x98ffef0>, <search.State instance at 0x98ff908>]",372,1064,475
16,0.7089047197006327,"[<search.State instance at 0x2d99560>, <search.State instance at 0x2d99c68>, <search.State instance at 0x2d99830>]",361,422,268
17,0.6610075760985019,"[<search.State instance at 0x2d997e8>, <search.State instance at 0x2d998c0>, <search.State instance at 0x2d99320>]",436,723,316
18,0.994090400055576,"[<search.State instance at 0x2d99440>, <search.State instance at 0x2d99b48>, <search.State instance at 0x2d99128>]",1317,811,500
19,0.870177402115309,"[<search.State instance at 0x2d7c5a8>, <search.State instance at 0x2d7cd40>, <search.State instance at 0x2d7cf38>]",668,1267,873
20,0.8581745513940486,"[<search.State instance at 0x2d95998>, <search.State instance at 0x2d95170>, <search.State instance at 0x2d95ab8>]",1166,908,581
21,0.7205608182828016,"[<search.State instance at 0x98ffea8>, <search.State instance at 0x98fff38>, <search.State instance at 0x98ffbd8>]",506,1055,449
22,0.8321573656974252,"[<search.State instance at 0x83f3d40>, <search.State instance at 0x83f3ea8>, <search.State instance at 0x8c89b00>]",1383,2201,597
23,0.6134409424059446,"[<search.State instance at 0x2d955f0>, <search.State instance at 0x2d95560>, <search.State instance at 0x2d95908>]",238,236,251
24,0.43652877144105917,"[<search.State instance at 0x2d8fd88>, <search.State instance at 0x2d8ff38>, <search.State instance at 0x2d8fc68>]",240,164,179
25,0.812297810311112,"[<search.State instance at 0x2d994d0>, <search.State instance at 0x2d99d88>, <search.State instance at 0x2d99e18>]",343,457,235
26,0.7316704303856882,"[<search.State instance at 0x83f37e8>, <search.State instance at 0x83f35a8>, <search.State instance at 0x83f3710>]",1372,1419,687
27,0.7850138228864858,"[<search.State instance at 0x2da3f38>, <search.State instance at 0x2da3680>, <search.State instance at 0x2da3320>]",1055,1091,625
28,0.8978502559087296,"[<search.State instance at 0x2d90710>, <search.State instance at 0x2d90c20>, <search.State instance at 0x2d90758>]",447,919,584
29,0.6273754205854756,"[<search.State instance at 0x86ea908>, <search.State instance at 0x86eaef0>, <search.State instance at 0x86eabd8>]",197,691,197
30,0.7892564176619536,"[<search.State instance at 0x2da31b8>, <search.State instance at 0x2da3b48>, <search.State instance at 0x2da3d88>]",196,811,200
31,0.48037273801711355,"[<search.State instance at 0x87ddea8>, <search.State instance at 0x87dd878>, <search.State instance at 0x87ddb90>]",399,534,431
32,0.9605062238149505,"[<search.State instance at 0x89d4128>, <search.State instance at 0x89d4ef0>, <search.State instance at 0x89d4c68>]",849,2111,892
33,0.8353860335625842,"[<search.State instance at 0x2d95368>, <search.State instance at 0x2d95710>, <search.State instance at 0x2d95fc8>]",720,983,361
34,0.8901045279003803,"[<search.State instance at 0x98e1128>, <search.State instance at 0x98e1200>, <search.State instance at 0x98e1248>]",825,1154,561
35,0.9811194967743129,"[<search.State instance at 0x98ff9e0>, <search.State instance at 0x98ffc68>, <search.State instance at 0x98ffa28>]",656,1125,328
36,0.7050289041517633,"[<search.State instance at 0x2d91560>, <search.State instance at 0x2d91710>, <search.State instance at 0x2d917a0>]",294,404,213
37,0.9708748469967334,"[<search.State instance at 0x86eae60>, <search.State instance at 0x86ea560>, <search.State instance at 0x86ea170>]",1330,817,530
38,0.7440700396121135,"[<search.State instance at 0x2d90290>, <search.State instance at 0x2d90f38>, <search.State instance at 0x2d90878>]",499,467,387
